"train_time","test_time","auc","participant"
0.36,-0.08,0.47046875,3
0.36,-0.08,0.445080128205128,4
0.36,-0.08,0.564197074293228,5
0.36,-0.08,0.487155448717949,6
0.36,-0.08,0.475829326923077,7
0.36,-0.08,0.53234375,8
0.36,-0.08,0.474358974358974,9
0.36,-0.08,0.5325,10
0.38,-0.08,0.450416666666667,1
0.38,-0.08,0.511225961538461,2
0.38,-0.08,0.45515625,3
0.38,-0.08,0.426939102564103,4
0.38,-0.08,0.567044707429323,5
0.38,-0.08,0.49026842948718,6
0.38,-0.08,0.474967948717949,7
0.38,-0.08,0.5053125,8
0.38,-0.08,0.486698717948718,9
0.38,-0.08,0.5615625,10
0.4,-0.08,0.436466346153846,1
0.4,-0.08,0.516101762820513,2
0.4,-0.08,0.495,3
0.4,-0.08,0.441374198717949,4
0.4,-0.08,0.551314924391847,5
0.4,-0.08,0.497548076923077,6
0.4,-0.08,0.493016826923077,7
0.4,-0.08,0.50640625,8
0.4,-0.08,0.478525641025641,9
0.4,-0.08,0.56015625,10
0.42,-0.08,0.442267628205128,1
0.42,-0.08,0.507423878205128,2
0.42,-0.08,0.49296875,3
0.42,-0.08,0.467952724358974,4
0.42,-0.08,0.515922912557528,5
0.42,-0.08,0.505280448717949,6
0.42,-0.08,0.495853365384615,7
0.42,-0.08,0.47140625,8
0.42,-0.08,0.54599358974359,9
0.42,-0.08,0.53453125,10
0.44,-0.08,0.466326121794872,1
0.44,-0.08,0.518774038461538,2
0.44,-0.08,0.49296875,3
0.44,-0.08,0.418970352564103,4
0.44,-0.08,0.561143984220907,5
0.44,-0.08,0.528064903846154,6
0.44,-0.08,0.498569711538462,7
0.44,-0.08,0.50390625,8
0.44,-0.08,0.544230769230769,9
0.44,-0.08,0.54171875,10
0.46,-0.08,0.472860576923077,1
0.46,-0.08,0.506141826923077,2
0.46,-0.08,0.4571875,3
0.46,-0.08,0.467752403846154,4
0.46,-0.08,0.567398093359632,5
0.46,-0.08,0.526887019230769,6
0.46,-0.08,0.469771634615385,7
0.46,-0.08,0.52265625,8
0.46,-0.08,0.498717948717949,9
0.46,-0.08,0.4921875,10
0.48,-0.08,0.439451121794872,1
0.48,-0.08,0.487536057692308,2
0.48,-0.08,0.47703125,3
0.48,-0.08,0.489174679487179,4
0.48,-0.08,0.557671761998685,5
0.48,-0.08,0.502291666666667,6
0.48,-0.08,0.477964743589744,7
0.48,-0.08,0.543125,8
0.48,-0.08,0.508814102564103,9
0.48,-0.08,0.45984375,10
0.5,-0.08,0.479483173076923,1
0.5,-0.08,0.503141025641026,2
0.5,-0.08,0.4678125,3
0.5,-0.08,0.516810897435897,4
0.5,-0.08,0.509245562130177,5
0.5,-0.08,0.522383814102564,6
0.5,-0.08,0.499443108974359,7
0.5,-0.08,0.5178125,8
0.5,-0.08,0.490865384615385,9
0.5,-0.08,0.50390625,10
0.52,-0.08,0.469154647435897,1
0.52,-0.08,0.486474358974359,2
0.52,-0.08,0.50515625,3
0.52,-0.08,0.498169070512821,4
0.52,-0.08,0.487656147271532,5
0.52,-0.08,0.51104967948718,6
0.52,-0.08,0.445520833333333,7
0.52,-0.08,0.50859375,8
0.52,-0.08,0.543269230769231,9
0.52,-0.08,0.5240625,10
0.54,-0.08,0.495388621794872,1
0.54,-0.08,0.50058092948718,2
0.54,-0.08,0.48640625,3
0.54,-0.08,0.489022435897436,4
0.54,-0.08,0.530839086127548,5
0.54,-0.08,0.549775641025641,6
0.54,-0.08,0.476394230769231,7
0.54,-0.08,0.49796875,8
0.54,-0.08,0.491826923076923,9
0.54,-0.08,0.48140625,10
0.56,-0.08,0.508601762820513,1
0.56,-0.08,0.549727564102564,2
0.56,-0.08,0.5140625,3
0.56,-0.08,0.473377403846154,4
0.56,-0.08,0.572875575279421,5
0.56,-0.08,0.536682692307692,6
0.56,-0.08,0.501221955128205,7
0.56,-0.08,0.52703125,8
0.56,-0.08,0.512980769230769,9
0.56,-0.08,0.50375,10
0.58,-0.08,0.459559294871795,1
0.58,-0.08,0.563000801282051,2
0.58,-0.08,0.53890625,3
0.58,-0.08,0.495616987179487,4
0.58,-0.08,0.527206607495069,5
0.58,-0.08,0.489735576923077,6
0.58,-0.08,0.516418269230769,7
0.58,-0.08,0.558125,8
0.58,-0.08,0.513942307692308,9
0.58,-0.08,0.50859375,10
0.6,-0.08,0.507283653846154,1
0.6,-0.08,0.531081730769231,2
0.6,-0.08,0.4975,3
0.6,-0.08,0.488713942307692,4
0.6,-0.08,0.514340894148587,5
0.6,-0.08,0.514342948717949,6
0.6,-0.08,0.517984775641026,7
0.6,-0.08,0.5496875,8
0.6,-0.08,0.549198717948718,9
0.6,-0.08,0.50859375,10
0.62,-0.08,0.535717147435897,1
0.62,-0.08,0.522403846153846,2
0.62,-0.08,0.4803125,3
0.62,-0.08,0.521770833333333,4
0.62,-0.08,0.528090072320842,5
0.62,-0.08,0.507387820512821,6
0.62,-0.08,0.520240384615385,7
0.62,-0.08,0.55375,8
0.62,-0.08,0.515865384615385,9
0.62,-0.08,0.5278125,10
0.64,-0.08,0.489198717948718,1
0.64,-0.08,0.487203525641026,2
0.64,-0.08,0.52921875,3
0.64,-0.08,0.513457532051282,4
0.64,-0.08,0.547867357001972,5
0.64,-0.08,0.493685897435897,6
0.64,-0.08,0.495689102564103,7
0.64,-0.08,0.570625,8
0.64,-0.08,0.513461538461538,9
0.64,-0.08,0.509375,10
0.66,-0.08,0.481157852564103,1
0.66,-0.08,0.470985576923077,2
0.66,-0.08,0.52234375,3
0.66,-0.08,0.499358974358974,4
0.66,-0.08,0.525505424063116,5
0.66,-0.08,0.493145032051282,6
0.66,-0.08,0.51026842948718,7
0.66,-0.08,0.50328125,8
0.66,-0.08,0.506089743589744,9
0.66,-0.08,0.541875,10
0.68,-0.08,0.493249198717949,1
0.68,-0.08,0.517784455128205,2
0.68,-0.08,0.46890625,3
0.68,-0.08,0.500548878205128,4
0.68,-0.08,0.520114234056542,5
0.68,-0.08,0.514623397435897,6
0.68,-0.08,0.522407852564103,7
0.68,-0.08,0.53484375,8
0.68,-0.08,0.513301282051282,9
0.68,-0.08,0.56078125,10
0.7,-0.08,0.505829326923077,1
0.7,-0.08,0.522471955128205,2
0.7,-0.08,0.4559375,3
0.7,-0.08,0.493245192307692,4
0.7,-0.08,0.556397928994083,5
0.7,-0.08,0.522331730769231,6
0.7,-0.08,0.497904647435897,7
0.7,-0.08,0.48015625,8
0.7,-0.08,0.530128205128205,9
0.7,-0.08,0.528125,10
0.72,-0.08,0.504138621794872,1
0.72,-0.08,0.523521634615385,2
0.72,-0.08,0.50171875,3
0.72,-0.08,0.511318108974359,4
0.72,-0.08,0.539291584483892,5
0.72,-0.08,0.469663461538462,6
0.72,-0.08,0.540440705128205,7
0.72,-0.08,0.53625,8
0.72,-0.08,0.494871794871795,9
0.72,-0.08,0.551875,10
0.74,-0.08,0.503465544871795,1
0.74,-0.08,0.508185096153846,2
0.74,-0.08,0.5328125,3
0.74,-0.08,0.506846955128205,4
0.74,-0.08,0.574720578566732,5
0.74,-0.08,0.49776842948718,6
0.74,-0.08,0.546318108974359,7
0.74,-0.08,0.565625,8
0.74,-0.08,0.507051282051282,9
0.74,-0.08,0.5609375,10
0.76,-0.08,0.455665064102564,1
0.76,-0.08,0.498621794871795,2
0.76,-0.08,0.50078125,3
0.76,-0.08,0.506005608974359,4
0.76,-0.08,0.522382478632479,5
0.76,-0.08,0.545849358974359,6
0.76,-0.08,0.509659455128205,7
0.76,-0.08,0.5034375,8
0.76,-0.08,0.501121794871795,9
0.76,-0.08,0.52,10
0.78,-0.08,0.440420673076923,1
0.78,-0.08,0.525661057692308,2
0.78,-0.08,0.51984375,3
0.78,-0.08,0.49650641025641,4
0.78,-0.08,0.551014957264957,5
0.78,-0.08,0.496422275641026,6
